No,Centroid_1,Centroid_2,MajorAxisLength,MinorAxisLength,MajorAxisLength_inches,MinorAxisLength_inches
1,46.05794769,1138.336821,74.17334373,43.50224871,0.403115999,0.236425265
3,111.0346678,1627.222039,71.9515672,43.94941625,0.391041126,0.238855523
4,98.91511286,1287.448479,53.36654946,48.88258937,0.290035595,0.265666247
5,143.5151961,1400.002206,86.19366576,61.43270808,0.468443836,0.333873413
6,136.7184604,1482.951532,48.62853705,37.5054912,0.264285527,0.203834191
7,148.3217088,2154.565388,65.10941613,46.53235286,0.353855522,0.252893222
8,157.90625,1040.510901,43.40612677,40.61964494,0.235902863,0.22075894
9,184.9483042,2273.819475,86.51884983,54.63593718,0.47021114,0.296934441
10,199.1260193,2379.981468,45.90891434,37.67734359,0.249504969,0.204768172
11,201.8296146,958.0872211,46.19751887,27.77465686,0.251073472,0.150949222
12,225.8382408,1486.210585,75.84225666,46.23235818,0.412186177,0.251262816
13,232.0428232,1237.893735,85.77543559,57.35019656,0.466170846,0.311685851
14,232.8846906,1589.273616,73.60909096,54.17765585,0.400049407,0.294443782
15,227.7492401,2655.308511,37.33504361,23.61458553,0.202907846,0.128340139
16,262.1887825,1708.360237,70.97780637,40.5640647,0.385748948,0.220456873
18,275.6891117,945.877149,71.64099585,51.06852021,0.389353238,0.277546305
19,316.9562947,1066.661352,86.77131451,54.18407514,0.471583231,0.294478669
20,304.5514175,1341.124514,61.38015485,38.70591767,0.333587798,0.210358248
21,305.6279528,1524.517323,68.73556556,48.0946726,0.373562856,0.26138409
23,346.2844507,2132.247672,62.80893769,44.97830661,0.341352922,0.244447319
24,350.1836283,1243.280973,49.78380324,36.53559818,0.270564148,0.198563034
25,375.1016744,872.4241689,88.68436348,60.02611334,0.481980236,0.326228877
26,376.2963651,1773.77368,86.03069842,56.39401257,0.467558144,0.306489199
27,364.8258929,2231.393452,86.49411252,50.31284926,0.470076698,0.273439398
28,370.6980296,1641.803448,53.40740779,48.95670084,0.290257651,0.266069026
29,372.9212243,2627.090316,50.92431539,50.38085694,0.276762584,0.273809005
30,378.0189602,1414.835474,47.06568962,45.15655799,0.255791791,0.245416076
31,398.3397169,1344.35179,68.07886104,45.98937879,0.36999381,0.249942276
32,397.1588287,1481.286602,59.4234699,48.78092036,0.322953641,0.265113698
33,420.8826849,2362.174339,84.51894179,51.16681481,0.459342075,0.278080515
34,410.2250257,1195.216787,64.05580588,39.41620164,0.34812938,0.214218487
35,440.6857248,759.9878274,78.46826125,44.65053904,0.426457942,0.242665973
36,444.1744186,1041.161395,59.29568435,46.84051944,0.322259154,0.25456804
37,457.6330876,1515.28665,85.00204004,56.02205218,0.461967609,0.304467675
38,465.7976121,2219.884974,84.24611625,53.06472458,0.457859327,0.288395242
40,468.6505276,1613.265363,80.71515338,51.65950571,0.438669312,0.280758183
41,479.6465271,2605.692198,55.49351774,48.79965327,0.301595205,0.265215507
42,479.2018038,1433.936866,61.2292444,37.40822263,0.332767633,0.203305558
43,479.8061844,987.1905025,67.68757502,36.4710996,0.367867256,0.198212498
44,505.8377855,1157.423539,73.12208235,45.74371005,0.397402621,0.24860712
45,501.2326303,2499.44665,53.82467096,38.69695206,0.292525386,0.210309522
46,514.2341635,1296.45425,88.65497528,54.00982783,0.481820518,0.293531673
47,512.6919583,2683.03393,84.22290731,57.19465893,0.457733192,0.310840538
49,519.5661265,2798.764767,52.53050592,47.05247383,0.28549188,0.255719966
50,532.3831377,2285.328709,52.48135101,45.73621939,0.285224734,0.24856641
51,541.2685746,1225.084205,50.08699071,47.09501753,0.272211906,0.255951182
52,554.7265516,1721.580495,64.39492629,43.7853573,0.349972425,0.237963898
53,558.0070475,1033.358309,71.98157428,48.75756643,0.391204208,0.264986774
54,582.6879775,923.8990752,87.65669708,45.34809881,0.476395093,0.246457059
55,593.1515738,2876.991768,75.0213695,37.91222308,0.407724834,0.206044691
56,578.8159806,2415.176029,92.58200403,57.71580335,0.503163065,0.313672844
57,577.6791953,1505.570143,55.37377906,44.99162703,0.300944451,0.244519712
58,604.9883426,831.2275722,84.44431281,60.38312788,0.458936483,0.328169173
59,590.7360574,2633.066814,55.16789517,42.58451111,0.299825517,0.23143756
60,594.2696456,2156.466872,65.186863,39.20824592,0.354276429,0.213088293
61,608.9300091,1290.999085,70.05731565,40.39162078,0.380746281,0.219519678
62,608.6229661,1393.446304,65.34845281,42.65172738,0.355154635,0.231802866
63,621.5245432,2780.113579,74.06907913,49.17365159,0.402549343,0.267248106
64,623.6492837,609.5621777,58.53439804,38.64400736,0.318121729,0.210021779
65,638.9375437,3106.356094,91.77789546,60.41374223,0.49879291,0.328335556
66,621.747691,1094.082284,68.30247436,45.50900045,0.3712091,0.247331524
67,632.111186,1602.435984,50.52545341,37.67769649,0.274594855,0.20477009
68,660.1985795,1536.651968,84.76767697,51.98243974,0.460693897,0.282513259
69,682.3407652,754.0473438,89.78918482,52.72051287,0.4879847,0.286524526
72,674.75,363.9129794,47.90095016,37.94127112,0.260331251,0.20620256
73,682.9920525,969.7961299,70.92941914,52.78949381,0.385485974,0.286899423
74,688.1577197,2647.572447,72.71540759,37.70589431,0.395192433,0.204923339
75,698.4913295,1732.392174,70.22326895,41.29276926,0.381648201,0.224417224
76,706.4467354,1376.108438,73.47355481,46.09179132,0.399312798,0.250498866
77,698.8381219,846.3230554,50.53996013,37.65948393,0.274673696,0.204671108
78,702.0975143,1064.474825,56.00742419,36.14083219,0.304388175,0.196417566
79,715.6947836,2911.241953,73.55430902,47.5214554,0.399751679,0.258268779
80,726.8783397,535.1703244,68.53375418,39.94565188,0.372466055,0.217095934
81,720.7829398,2300.587205,42.95194266,39.07906222,0.233434471,0.212386208
82,755.6226563,2100.259896,92.23479192,54.21804785,0.501276043,0.294663304
83,737.5044643,894.75,46.04626505,43.86853815,0.25025144,0.238415968
84,741.6739645,657.3319527,63.48491092,34.28854601,0.34502669,0.186350794
85,753.7729179,1143.514679,79.74040938,53.69353875,0.43337179,0.291812711
86,753.3484921,1663.351364,70.60604551,38.71211558,0.383728508,0.210391932
87,765.0573477,2617.929659,72.0704859,39.90813844,0.391687423,0.216892057
88,773.2269504,772.2713948,56.46735308,48.45175504,0.306887788,0.263324756
89,769.9082618,2765.994635,54.95140731,43.65804165,0.298648953,0.237271966
90,785.8788768,1422.982816,74.91102945,40.93138716,0.40712516,0.222453191
91,785.6954235,1564.677012,69.51953977,36.60136536,0.377823586,0.198920464
92,782.1112845,1067.376495,60.32130882,40.97781632,0.3278332,0.222705523
93,793.7489382,3243.320906,58.43342929,47.19300305,0.317572985,0.256483712
94,809.142515,280.2685629,82.95143783,51.81073281,0.450823032,0.28158007
96,810.719491,2413.529208,54.76464304,40.41777266,0.29763393,0.219661808
97,827.9271472,2807.165133,89.19553139,56.50915165,0.484758323,0.307114955
98,828.8567308,2997.290865,70.54066265,38.53998298,0.383373167,0.209456429
99,806.8618693,1663.574855,53.41697494,31.30572202,0.290309646,0.170139794
100,824.3943116,645.5355527,80.86410918,49.51270064,0.439478854,0.269090764
101,816.2784448,1731.095483,65.48069709,34.38727733,0.355873354,0.186887377
102,847.7952864,528.0021924,84.79553073,55.94424394,0.460845276,0.304044804
103,840.2240933,2688.018782,47.39024568,41.76335226,0.257555683,0.226974741
104,845.0194221,1333.027949,57.56713115,47.37472624,0.312864843,0.257471338
105,843.0291188,2465.298851,43.96943137,37.95252883,0.238964301,0.206263744
106,868.139681,3099.483084,86.65181949,61.48837541,0.470933802,0.334175953
108,871.917124,2881.51921,60.81993268,38.55365834,0.330543112,0.209530752
109,878.6009939,1089.648933,78.22350274,57.00657493,0.425127732,0.309818342
